# Residuals     
# Time          	p               	Ux              	Uz              	e               	k               	omega           
0               	N/A	N/A	N/A	N/A	N/A
0.00106         	4.62664275e-03	3.26089032e-03	1.47291592e-02	5.83358948e-03	2.16442285e-03	3.25665954e-04
0.00108         	4.64035620e-03	3.27191744e-03	1.45787985e-02	5.86687636e-03	2.14472542e-03	3.22269780e-04
0.0011          	4.65991068e-03	3.27749122e-03	1.43695117e-02	5.90695447e-03	2.12675664e-03	3.18259006e-04
0.00112         	4.66973674e-03	3.27831013e-03	1.42103675e-02	5.94313641e-03	2.10174980e-03	3.14045343e-04
0.00114         	4.69125413e-03	3.27831898e-03	1.40618876e-02	5.93584853e-03	2.08218124e-03	3.10385997e-04
0.00116         	4.70939612e-03	3.28353266e-03	1.39075690e-02	5.95391053e-03	2.06138841e-03	3.07486411e-04
0.00118         	4.72055914e-03	3.29661002e-03	1.37755814e-02	5.98781163e-03	2.04406327e-03	3.04577447e-04
0.0012          	4.73826136e-03	3.30562168e-03	1.36078433e-02	6.02711728e-03	2.02868177e-03	3.01497142e-04
0.00122         	4.75467844e-03	3.30577045e-03	1.34729811e-02	6.05075713e-03	2.01167941e-03	2.98392999e-04
0.00124         	4.77112653e-03	3.30821031e-03	1.33502098e-02	6.04941648e-03	1.99057957e-03	2.95701785e-04
0.00126         	4.78836535e-03	3.31569215e-03	1.32271128e-02	6.06551120e-03	1.97274445e-03	2.93121694e-04
0.00128         	4.80395118e-03	3.33325383e-03	1.31075266e-02	6.09662188e-03	1.95943571e-03	2.90490984e-04
0.0013          	4.81824670e-03	3.34515763e-03	1.29725214e-02	6.13619741e-03	1.94406315e-03	2.88005372e-04
0.00132         	4.83545276e-03	3.34759648e-03	1.28434849e-02	6.16324705e-03	1.92765731e-03	2.85229153e-04
0.00134         	4.85134779e-03	3.35123126e-03	1.27539919e-02	6.15996447e-03	1.90745745e-03	2.83117795e-04
0.00136         	4.86771068e-03	3.35726886e-03	1.26568969e-02	6.17438041e-03	1.88907502e-03	2.80499699e-04
0.00138         	4.88467636e-03	3.37783608e-03	1.25403005e-02	6.19027386e-03	1.87488785e-03	2.78071803e-04
0.0014          	4.89993310e-03	3.39282976e-03	1.24283723e-02	6.22840225e-03	1.86115789e-03	2.75921521e-04
0.00142         	4.91107480e-03	3.40237008e-03	1.23253555e-02	6.26431370e-03	1.84165570e-03	2.73349836e-04
0.00144         	4.92730219e-03	3.40305024e-03	1.22253532e-02	6.26146686e-03	1.82093558e-03	2.70678887e-04
